TITLE,SYNOPSIS,GENRE,YEAR,RAITING,LENGUEAGE,LIKES,QUALITY,SIZE,TYPE,LINK
Red Hook Summer,"A middle-class boy from Atlanta finds his worldview changed as he spends the summer with his deeply religious grandfather in the housing projects of Red Hook, Brooklyn.",['Drama'],2012,5.1,en,0,  720p  1080p,  1.08 GB  2.22 GB,  bluray  bluray,https://yts.mx/movies/red-hook-summer-2012
The Adventure of Denchu-Kozo,"Hikari is a boy who is bullied and teased by the other boys at school because he has the odd distinction of having an electricity pole growing out of his back. However, one of his classmates, a girl named Momo, comes to his rescue. Hikari thanks her by sharing his secret possession with her: a time machine. He then activates the time machine which transports him 25 years into a dark, dystopian, world of the future. There he encounters members of the Shinsengumi Vampire Gang in the process of hunting a woman named Dr. Sariba who is revealed to be Momo's future self. She explains to Hikari that she had been long expecting his arrival from the past and that he has a crucial role to play here -- he and he alone must save the world. —Dr. Jay Trotter","['Comedy', 'Horror', 'Sci-Fi']",1987,6.6,ja,1,  720p  1080p,  419.13 MB  778.03 MB,  bluray  bluray,https://yts.mx/movies/the-adventure-of-denchu-kozo-1987
"Clean, Shaven","Clean shaven a tough film for some to take, but it contains by far the most honest and moving portrait of schizophrenia every put on the screen. Peter Greene portrays a young man who'd been instatutionalised. Now outside, he's desperately trying to find a way to both function in the world, and to search for his young daughter, who he had before being hospitalised, and had only seen as an infant. It's a hard film for some to watch, but it's also highly rewarding -especially in Mr Green's riveting performance. —Tad Dibbern","['Crime', 'Drama', 'Thriller']",1993,7.1,en,0,  720p  1080p,  724.8 MB  1.31 GB,  bluray  bluray,https://yts.mx/movies/clean-shaven-1993
Medium,"Story of four people in Sopot in 1933, mysteriously brought together to an old villa to reenact a murder ritual that took place 50 years earlier. —Polish Cinema Database","['Horror', 'Mystery', 'Thriller']",1985,6.5,pl,0,  720p  1080p,  825.85 MB  1.5 GB,  bluray  bluray,https://yts.mx/movies/medium-1985
Genji monogatari,"Based on the classic novel by Murasaki Shikibu, written over 1000 years ago. Genji, the son of the emperor, has gained renown among the nobility of Kyoto for his charm and good looks, yet he cannot stop himself from pursuing the one object of desire he must never obtain: his father's young and beautiful bride. Following the tragic consequences of his obsession, Genji wanders from one affair to another, always seeking some sort of completion to his life. —Jean-Marc Rocher","['Animation', 'Drama']",1966,6.6,ja,0,  720p  1080p,  1022.51 MB  1.85 GB,  web  web,https://yts.mx/movies/genji-monogatari-1966
Punishment Island,"Seeking revenge against the guard who tormented him, a young man returns to the island where he was imprisoned in reform school. But his plans for vengeance are disturbed when he encounters a strange and beautiful young woman. —Jim Beaver","['Drama', 'Mystery']",1966,7.0,ja,0,  720p  1080p,  793.94 MB  1.44 GB,  web  web,https://yts.mx/movies/punishment-island-1966
Wonderful Paradise,"At a large mansion on the outskirts of Tokyo, Shuji SASAYA looks around a room with full of packed cardboard boxes. He has to sell this mansion because of his mistake. His hermit son, Yuta, brings a homeless into the house, and his daughter has frustrated by her reckless father, and wrote on Twitter, ""Let's have a party today at my place. Anyone is welcome!!"" A re-tweet sound is ringing at high speed beside her sleeping. The first to come to the Sasayas were moving companies Taichi and Atsushi, and a divorced mother of Yuta and Akane, Akiko. She seems to have hit-and-run away from the moving truck. A gay couple looking for a wedding venue, elementary school students come to rent a shower, two men cultivating suspicious plants on the premises of the Sasayas, and other peculiar people get together to have a wedding, a funeral and even a festival at the mansion. Both the living and the dying are in the rage of frenzy, the story unfolds. —Geta Films","['Comedy', 'Fantasy']",2020,6.3,ja,0,  720p  1080p,  876.39 MB  1.59 GB,  web  web,https://yts.mx/movies/wonderful-paradise-2020
Till the End of Time,"Three former Marines have a hard time readjusting to civilian life. Perry can't deal with the loss of the use of his legs. William is in trouble with bad debts. And Cliff can't decide what he wants to do with his life, although he gets encouragement from war widow Pat Ruscomb. —Daniel Bubbeo","['Drama', 'Romance', 'War']",1946,6.8,en,0,  720p  1080p,  964.82 MB  1.75 GB,  web  web,https://yts.mx/movies/till-the-end-of-time-1946
Jeremiah,"The young Jeremiah grows up in a priest's family in the village of Anathoth, near Jerusalem. God appears to Jeremiah in different human guises on several occasions, and makes it clear to him that he has been selected to announce God's message to the people of Jerusalem: a mighty ruler from the north will attack the Kingdom of Judah if the people there continue to worship false idols, and fail to remember the One God. No-one in Anathoth believes Jeremiah's prophecy, however. Instead, he is accused of blasphemy and is physically attacked - and not even his family comes to his aid. Nevertheless, with the help of Baruch, a temple scribe who hears Jeremiah's first sermon and becomes his disciple, Jeremiah succeeds in announcing the word of God. The prophet's message of impending doom incurs only the wrath and rejection of the ruling classes, the priesthood and the King. Jeremiah can find no audience, and lands up in captivity again - but even though he even has to leave his true love for Judith to fate, he still sticks firmly to his mission. It is only when war with the enemy forces from Babylon seems inevitable that the people of Jerusalem start to grow restless, and Jeremiah gradually starts to win support. However the King, who is taking the advice of the false prophet Hananiah, is certain that the country's powerful neighbours, the Egyptians, will come to his assistance. Shortly afterwards, however, the Babylonians lay siege to the Holy City. Although the King now believes Jeremiah, he still finds it impossible to make the decision to surrender the city. Jerusalem goes up in flames, and the people are led off into exile in Babylon. —Anonymous","['Biography', 'Drama', 'History']",1998,7.1,en,4,  720p  1080p,  877.02 MB  1.76 GB,  bluray  bluray,https://yts.mx/movies/jeremiah-1998
Charlie and His Two Chicks,"Charlie,a forty-something , and two girls ,Guislaine and Josyane, are on the dole.Charlie has a van and they go from town to town,selling oilcloth in the market places..it won't be long before the three of them sleep together.But they meet Tony a lady killer who sells miniature cathedrals and who owns a comfortable trailer. Josiane is seduced but shortly after the buck walks out on her. —dbdumonteil",['Comedy'],1973,6.3,fr,0,  720p  1080p,  851.36 MB  1.54 GB,  web  web,https://yts.mx/movies/charlie-and-his-two-chicks-1973
